cell,desired_direction,eligibility_rule,metric,n_common_eligible_seeds,n_resamples,optimizer_delta_difference,optimizer_delta_difference_ci_high,optimizer_delta_difference_ci_low,primary_ci_excludes_zero,primary_ci_high,primary_ci_low,primary_estimate,primary_function_success_count,primary_optimizer,qualitative_direction_agreement,replication_ci_direction_pass,replication_ci_excludes_zero,replication_ci_high,replication_ci_low,replication_estimate,replication_function_success_count,replication_optimizer,replication_supports_desired_direction,rng_seed,same_direction,two_optimizer_ci_direction_pass,two_optimizer_support_desired_direction
C16-d16-L2-H1-m4-ffnnone,decrease,function_gate,walsh_total_error_energy,12,20000,1.8422407568626415e-05,0.00012014957610517736,-7.094842585502193e-05,True,-1.48594840436305,-2.9274780847609536,-2.095813004522521,12,adamw,True,True,True,-1.4859151555631191,-2.9274936569080783,-2.095794582114953,12,sgd,True,20260815,True,True,True
C16-d16-L2-H4-m4-ffn32,decrease,function_gate,attention_mean_distractor_mass,12,20000,0.03212168255413417,0.044268771970261356,0.018659133031663572,True,-0.06925100010679065,-0.09071361720804512,-0.08050834242021665,12,adamw,True,True,True,-0.03944322429621634,-0.05669411498323219,-0.04838665986608248,12,sgd,True,20260815,True,True,True
C16-d16-L2-H4-m4-ffn32,descriptive,function_gate,attention_self_mass,12,20000,-0.042599869232314326,-0.011358074341357377,-0.07473937151080462,True,0.10885193121782016,0.042065615238849816,0.07630165386459946,12,adamw,True,True,True,0.05786425719367495,0.00907936107626787,0.033701784632285126,12,sgd,False,20260815,True,True,False
C16-d16-L2-H4-m4-ffn32,increase,function_gate,attention_target_mass,12,20000,-0.053765169771698616,-0.025387556421143636,-0.08455226880638898,True,0.189271083753556,0.14384068799796904,0.1652233671823827,12,adamw,True,True,True,0.12465743985182291,0.0994453603833487,0.11145819741068408,12,sgd,True,20260815,True,True,True
C16-d16-L2-H4-m4-ffn32,increase,function_gate,attention_target_over_distractor_log_margin,12,20000,-0.8216854005683368,-0.5404170789729208,-1.1073227660250267,True,2.0626455671629325,1.6466957313522774,1.8501717861897002,12,adamw,True,True,True,1.1892037555095156,0.8767022023770551,1.0284863856213633,12,sgd,True,20260815,True,True,True
C16-d16-L2-H4-m4-ffn32,increase,all_scheduled,donor_accuracy,12,20000,0.0,0.0,0.0,True,0.50927734375,0.4684244791666667,0.4894205729166667,12,adamw,True,True,True,0.50927734375,0.4684244791666667,0.4894205729166667,12,sgd,True,20260815,True,True,True
C16-d16-L2-H4-m4-ffn32,decrease,all_scheduled,donor_risk,12,20000,6.569911389912401e-05,9.645027270532105e-05,3.7649919575718135e-05,True,-0.7925577255237617,-1.6899037563651897,-1.1851443054653525,12,adamw,True,True,True,-0.7925187348123022,-1.6897965838265463,-1.1850786063514533,12,sgd,True,20260815,True,True,True
C16-d16-L2-H4-m4-ffn32,descriptive,function_gate,embedding_coherence,12,20000,-0.0252723495165507,0.009790191302696845,-0.06636050976812839,True,0.15359054779012996,0.08223919135828814,0.11974402765432994,12,adamw,True,True,True,0.13731638230383383,0.049520066504677135,0.09447167813777924,12,sgd,False,20260815,True,True,False
C16-d16-L2-H4-m4-ffn32,descriptive,function_gate,embedding_effective_rank,12,20000,0.3277548948923747,0.6228052715460459,0.07225881516933448,True,-2.250810507933299,-2.767990713318189,-2.4940879344940186,12,adamw,True,True,True,-1.8948172618945442,-2.4324058145284653,-2.166333039601644,12,sgd,False,20260815,True,True,False
C16-d16-L2-H4-m4-ffn32,descriptive,function_and_donor_gate,ffn_branch_signed,12,20000,-4.214948906640833e-05,0.0002050776867387564,-0.00027336354688713984,False,0.0047601504130398075,-0.009805437429698333,-0.003037875206549264,12,adamw,True,False,False,0.0047072742014392975,-0.00992042665741716,-0.003080024695615672,12,sgd,False,20260815,True,False,False
C16-d16-L2-H4-m4-ffn32,increase,function_and_donor_gate,ffn_cancellation_fraction,12,20000,-0.11825159440437953,-0.07450632176672423,-0.15795513335615396,True,0.23987455726601173,0.1640429334715009,0.20133256167173386,12,adamw,True,True,True,0.11484219632111488,0.05077850228796403,0.08308096726735432,12,sgd,True,20260815,True,True,True
