revision,revision_index,template_id,template_index,layer,closure_max_abs,closure_relative_sensitivity_max,component_scale_max_abs,n_episode_rows,independent_pretraining_trajectories,delta_h_norm_mean,delta_attention_norm_mean,delta_ffn_norm_mean,delta_post_norm_mean,delta_skip_attention_norm_mean
step16000,5,compact_cards,0,1,1.7763568394002505e-15,2.974385767401007e-14,0.34567042567104794,256,1,0.16196067622557442,0.24370722763821917,0.18327718049277775,0.2998344386937647,0.2974462717800612
step16000,5,compact_cards,0,2,2.0539125955565396e-15,1.4062318432634708e-14,0.26175452535589133,256,1,0.2998344386937647,0.43786928805230774,0.23094476300795647,0.5174701834271919,0.5223063233121658
step16000,5,compact_cards,0,3,2.220446049250313e-15,9.100933972485102e-15,0.46639861462913124,256,1,0.5174701834271919,1.1811754941624826,0.3644753928052741,1.2682540440010572,1.3067619020656849
step16000,5,compact_cards,0,4,4.884981308350689e-15,7.921145637876659e-15,2.0140884728701716,256,1,1.2682540440010572,6.2931380431665,0.6766839227831866,6.822484371591884,6.8203967094335525
step16000,5,compact_cards,0,5,1.7763568394002505e-14,1.2364790245063904e-14,4.212789369797045,256,1,6.822484371591884,2.7436203691658143,4.195833635375429,10.611521263610486,8.927545297865047
step16000,5,line_records,1,0,8.881784197001252e-16,1.339510646456644e-13,0.10165980635810357,256,1,0.0,0.12021460712408807,0.0,0.12021460712408807,0.12021460712408807
step16000,5,line_records,1,1,1.887379141862766e-15,4.1929913617729296e-14,0.2615660997796516,256,1,0.12021460712408807,0.17709253109003464,0.1444645460159887,0.21677164163227353,0.21285235671231126
step16000,5,line_records,1,2,2.220446049250313e-15,2.1119262319658618e-14,0.25147722745823003,256,1,0.21677164163227353,0.3578661797195988,0.17035346088055048,0.40820631065694907,0.41779748807100114
step16000,5,line_records,1,3,2.1094237467877974e-15,1.0662488881005448e-14,0.3431514824917531,256,1,0.40820631065694907,0.8189082414187643,0.29735205072660964,0.9039619370061611,0.9396998923270905
step16000,5,line_records,1,4,5.329070518200751e-15,7.737183140143802e-15,2.3771357665713317,256,1,0.9039619370061611,5.9895777946413915,0.5133675061077463,6.322194730248401,6.337296098529888
step16000,5,line_records,1,5,2.042810365310288e-14,1.6601607195800153e-14,4.188089636025168,256,1,6.322194730248401,2.8505743535422328,3.7364407183069575,10.077715975446992,8.584024196778632
step16000,5,prose_facts,2,0,1.7763568394002505e-15,9.710627027313216e-14,0.09948824764454578,256,1,0.0,0.17429061103322865,0.0,0.17429061103322868,0.17429061103322865
step16000,5,prose_facts,2,1,1.7763568394002505e-15,3.2933136852027555e-14,0.25737326097752183,256,1,0.17429061103322868,0.21469236460506713,0.20371170792109639,0.29237521303041825,0.282206195955669
step16000,5,prose_facts,2,2,2.220446049250313e-15,3.318051346434442e-14,0.2689280767988136,256,1,0.29237521303041825,0.37292072960473216,0.2478460256790874,0.4720360147973569,0.4754694916164355
step16000,5,prose_facts,2,3,1.9984014443252818e-15,9.968246599460955e-15,0.3975026796269685,256,1,0.4720360147973569,0.6472302604729118,0.3714114225127869,0.8091140929045184,0.8320105278287956
step16000,5,prose_facts,2,4,4.884981308350689e-15,5.981213361961584e-15,1.8737572838924117,256,1,0.8091140929045184,5.972607016330085,0.5548368107579407,6.229191625669133,6.240180801837935
step16000,5,prose_facts,2,5,9.769962616701378e-15,6.784491784676303e-15,3.769469585144065,256,1,6.229191625669133,2.846053870950294,3.8491774014259637,10.051357896829774,8.4683308169812
step16000,5,bracket_dictionary,3,0,1.7763568394002505e-15,1.5588412196582492e-13,0.11386155503286233,256,1,0.0,0.20338495678929117,0.0,0.20338495678929117,0.20338495678929117
